Entry No.,Song Name,Program Name,Program Type,Air Date
0,WHISTLE,The Bold Type,TV Show,2017-06-20
1,As If It's Your Last,Justice League (2017),Movie,2017-11-17
2,Kiss and Make Up,Siesta Key,TV Show,2019-03-26
3,DDU-DU DDU-DU,The Bold Type,TV Show,2019-04-30
4,Kill This Love,Love Island (UK),TV Show,2019-06-28
5,Kill This Love,Love Island,TV Show,2019-06-28
6,Kiss and Make Up,Love Island,TV Show,2019-07-29
7,Kiss and Make Up,Love Island (UK),TV Show,2019-07-29
8,BOOMBAYAH,Wu Assassins,TV Show,2019-08-08
9,Kill This Love,To All the Boys: P.S. I Still Love You,Movie,2020-02-12
10,Kill This Love,Jersey Shore: Family Vacation,TV Show,2020-03-05
11,Kill This Love,Double Shot at Love,TV Show,2020-06-11
