Label,Frequency
Gray,2
Blossom,1
Flower,1
Plant,14
Apparel,299
Clothing,299
Human,470
Person,470
Accessories,34
Accessory,34
Crash Helmet,7
Helmet,36
Machine,5
Musical Instrument,13
Wheel,4
Crowd,66
Motorcycle,2
Musician,9
Stage,95
Transportation,6
Vehicle,6
Child,10
Face,109
Female,132
Girl,49
Kid,10
Teen,9
Woman,35
Goggles,11
Head,2
Sunglasses,17
Hardhat,1
Costume,55
Skirt,16
Furniture,6
Coat,4
Jacket,2
People,33
Club,205
Kilt,3
Night Club,152
Night Life,155
Plaid,8
Tartan,8
Leisure Activities,226
Dance Pose,133
Purple,40
Party,34
Dress,2
Bar Counter,2
Pub,2
Finger,12
Disco,29
Jewelry,5
Dj,2
Light,25
Lighting,34
Photo,18
Photography,18
Portrait,12
Smile,9
Hair,4
Cosmetics,1
Blonde,5
Outdoors,22
Hand,4
Footwear,40
Shoe,36
Dance,3
Indoors,2
Interior Design,2
Guitar,3
Dancing,42
Nature,12
Shorts,35
Sleeve,2
Festival,16
Pants,7
Food,5
Electronics,4
Cushion,5
Lingerie,2
Underwear,2
Toy,2
Tree,7
Vegetation,7
Arecaceae,2
Flare,12
Grass,2
Palm Tree,2
Sky,1
Sun,1
Sunlight,5
Jungle,1
Land,3
Necklace,3
Boot,4
Couch,1
Art,3
Window,1
Dye,1
Concert,2
Rock Concert,1
Animal,1
Music Band,2
Sport,2
Sports,2
Hat,3
Paper,1
Vacation,1
Bicycle,1
Bike,1
Chair,2
Overcoat,1
Suit,1
Confectionery,1
Sweets,1
Text,2
