name,percent
Music,29.27
"Friends, Family & Relationships",27.06
"Restaurants, Food & Grocery",24.18
"Clothes, Shoes, Handbags & Accessories",23.13
Television & Film,20.87
"Toys, Children & Baby",20.87
Camera & Photography,20.35
"Travel, Tourism & Aviation",17.99
Art & Design,17.32
Beauty & Cosmetics,17.08
Pets,14.68
Electronics & Computers,13.96
"Coffee, Tea & Beverages",13.92
Sports,9.60
Shopping & Retail,8.59
Cars & Motorbikes,8.35
Activewear,7.82
Fitness & Yoga,7.29
Gaming,6.62
Luxury Goods,6.19
Wedding,5.81
Healthy Lifestyle,5.42
Jewellery & Watches,4.13
"Beer, Wine & Spirits",3.60
"Home Decor, Furniture & Garden",2.35
Business & Careers,1.73
